day_ar,fism_pred,fism_wv
2007097,"[  2.48801516e-05   2.49535569e-05   2.51382899e-05 ...,  -5.35363943e-05
  -5.35708969e-05  -5.36053994e-05]",15.0500001907
2007098,"[  2.01885050e-05   2.03158907e-05   2.06354671e-05 ...,  -9.45026841e-05
  -9.45571883e-05  -9.46116925e-05]",15.1500005722
2007099,"[  3.03798188e-05   3.05860412e-05   3.11155200e-05 ...,  -1.68373372e-04
  -1.68511964e-04  -1.68650571e-04]",15.25
2007100,"[  1.22983474e-05   1.23803948e-05   1.25878860e-05 ...,  -6.61373924e-05
  -6.61794111e-05  -6.62214297e-05]",15.3500003815
2007101,"[  1.95615721e-05   1.96874316e-05   2.00095910e-05 ...,  -1.05220730e-04
  -1.05301369e-04  -1.05382001e-04]",15.4499998093
2007102,"[  9.00531177e-06   9.04631543e-06   9.15010696e-06 ...,  -3.64017251e-05
  -3.64233711e-05  -3.64450170e-05]",15.5500001907
2007103,"[  8.01582337e-06   8.06765001e-06   8.19804882e-06 ...,  -5.50399891e-05
  -5.50642726e-05  -5.50885597e-05]",15.6500005722
2007104,"[  1.60509826e-05   1.62416181e-05   1.67233939e-05 ...,  -1.69836741e-04
  -1.69933279e-04  -1.70029816e-04]",15.75
2007105,"[  1.84704859e-05   1.85573826e-05   1.87801397e-05 ...,  -7.37037044e-05
  -7.37611554e-05  -7.38185990e-05]",15.8500003815
2007106,"[  1.23775990e-05   1.24343687e-05   1.25775487e-05 ...,  -4.51538981e-05
  -4.51815868e-05  -4.52092754e-05]",15.9499998093
2007107,"[  1.62013621e-05   1.62901088e-05   1.65156998e-05 ...,  -6.99864759e-05
  -7.00367818e-05  -7.00870878e-05]",16.0500001907
2007108,"[  9.46185901e-06   9.54288225e-06   9.74731574e-06 ...,  -9.33012780e-05
  -9.33417032e-05  -9.33821357e-05]",16.1500005722
2007109,"[  1.22741130e-05   1.23323434e-05   1.24803655e-05 ...,  -5.55259103e-05
  -5.55594670e-05  -5.55930237e-05]",16.25
2007110,"[  1.19747128e-05   1.20708837e-05   1.23122863e-05 ...,  -8.42534937e-05
  -8.42953887e-05  -8.43372763e-05]",16.3500003815
2007111,"[  1.62480155e-05   1.63958066e-05   1.67727867e-05 ...,  -1.46625040e-04
  -1.46714883e-04  -1.46804712e-04]",16.4499998093
2007112,"[  1.72947257e-05   1.73707504e-05   1.75628447e-05 ...,  -6.35267206e-05
  -6.35653123e-05  -6.36039040e-05]",16.5500001907
2007113,"[  1.63874793e-05   1.64643661e-05   1.66581012e-05 ...,  -6.20533174e-05
  -6.20899809e-05  -6.21266445e-05]",16.6500005722
2007114,"[  5.14145686e-05   5.16073596e-05   5.20863650e-05 ...,  -1.45255937e-04
  -1.45321916e-04  -1.45387879e-04]",16.75
2007115,"[  7.23451158e-05   7.26276339e-05   7.33303968e-05 ...,  -2.25729847e-04
  -2.25830765e-04  -2.25931668e-04]",16.8500003815
2007116,"[  4.37056806e-05   4.39472497e-05   4.45535043e-05 ...,  -2.02682029e-04
  -2.02789175e-04  -2.02896306e-04]",16.9499998093
2007117,"[ 0.00021672  0.00021719  0.00021835 ..., -0.00021259 -0.00021275
 -0.00021291]",17.0500001907
2007118,"[ 0.00032526  0.000326    0.00032782 ..., -0.00040182 -0.00040206
 -0.00040231]",17.1500005722
2007119,"[  3.74988813e-05   3.76097487e-05   3.78895929e-05 ...,  -7.66630983e-05
  -7.67186866e-05  -7.67742749e-05]",17.25
2007120,"[  4.55951158e-05   4.57479146e-05   4.61332675e-05 ...,  -1.11941059e-04
  -1.12016351e-04  -1.12091642e-04]",17.3500003815
2007121,"[ 0.00043755  0.00043859  0.00044119 ..., -0.00052779 -0.00052826
 -0.00052873]",17.4499998093
2007122,"[  7.97003158e-05   7.99681293e-05   8.06479366e-05 ...,  -2.04251744e-04
  -2.04405398e-04  -2.04559037e-04]",17.5500001907
2007123,"[  8.21837530e-05   8.25702664e-05   8.35420142e-05 ...,  -3.03932349e-04
  -3.04110232e-04  -3.04288056e-04]",17.6500005722
2007124,"[ 0.00025471  0.00025535  0.00025694 ..., -0.00035122 -0.00035153
 -0.00035184]",17.75
2007125,"[  3.70904600e-05   3.72476716e-05   3.76466669e-05 ...,  -1.23624865e-04
  -1.23713398e-04  -1.23801903e-04]",17.8500003815
2007126,"[  5.63599424e-05   5.66646195e-05   5.74352562e-05 ...,  -2.40011883e-04
  -2.40170411e-04  -2.40328925e-04]",17.9499998093
2007127,"[ 0.000401    0.00040233  0.0004057  ..., -0.00076789 -0.00076865
 -0.0007694 ]",18.0500001907
2007128,"[  5.46625524e-05   5.48792304e-05   5.54346007e-05 ...,  -1.62525714e-04
  -1.62670287e-04  -1.62814860e-04]",18.1500005722
2007129,"[  6.67933564e-05   6.70655572e-05   6.77581702e-05 ...,  -2.00782350e-04
  -2.00942537e-04  -2.01102725e-04]",18.25
2007130,"[  2.79211872e-05   2.80464610e-05   2.83631343e-05 ...,  -1.10477595e-04
  -1.10542504e-04  -1.10607412e-04]",18.3500003815
2007131,"[ 0.00013908  0.00013953  0.00014065 ..., -0.00029297 -0.00029318
 -0.00029339]",18.4499998093
2007132,"[  5.31034748e-05   5.33686070e-05   5.40356923e-05 ...,  -2.41126560e-04
  -2.41252928e-04  -2.41379297e-04]",18.5500001907
2007133,"[  7.64902070e-05   7.70881452e-05   7.85929296e-05 ...,  -5.08797297e-04
  -5.09075180e-04  -5.09353064e-04]",18.6500005722
2007134,"[  9.43517516e-05   9.48158340e-05   9.59986137e-05 ...,  -3.42678104e-04
  -3.42955027e-04  -3.43231950e-04]",18.75
2007135,"[ 0.0002911   0.00029207  0.00029455 ..., -0.0005897  -0.00059026
 -0.00059082]",18.8500003815
2007136,"[  6.03387089e-05   6.05777313e-05   6.11851137e-05 ...,  -1.73050765e-04
  -1.73187218e-04  -1.73323671e-04]",18.9499998093
2007137,"[  5.70415068e-05   5.72677491e-05   5.78415420e-05 ...,  -1.60127631e-04
  -1.60252966e-04  -1.60378288e-04]",19.0500001907
2007138,"[  4.15347677e-05   4.17858464e-05   4.24245918e-05 ...,  -2.04195007e-04
  -2.04339885e-04  -2.04484764e-04]",19.1500005722
2007139,"[ 0.00015039  0.00015109  0.00015287 ..., -0.00047701 -0.00047742
 -0.00047784]",19.25
2007140,"[ 0.00021554  0.00021664  0.00021944 ..., -0.00075703 -0.00075769
 -0.00075835]",19.3500003815
2007141,"[ 0.00012097  0.00012172  0.00012361 ..., -0.00052779 -0.00052821
 -0.00052862]",19.4499998093
2007142,"[ 0.00021583  0.0002168   0.0002193  ..., -0.00068176 -0.0006824
 -0.00068303]",19.5500001907
2007143,"[  3.94186100e-05   3.97439835e-05   4.05668616e-05 ...,  -2.86299997e-04
  -2.86467985e-04  -2.86635972e-04]",19.6500005722
2007144,"[  3.50910886e-05   3.52741408e-05   3.57397548e-05 ...,  -1.46033344e-04
  -1.46138773e-04  -1.46244201e-04]",19.75
2007145,"[  3.56555938e-05   3.57992903e-05   3.61632483e-05 ...,  -1.05501938e-04
  -1.05579165e-04  -1.05656392e-04]",19.8500003815
2007146,"[  2.30562400e-05   2.32564689e-05   2.37629902e-05 ...,  -1.70934072e-04
  -1.71037915e-04  -1.71141757e-04]",19.9499998093
2007147,"[  3.96907963e-05   4.00399513e-05   4.09261556e-05 ...,  -2.96305312e-04
  -2.96498009e-04  -2.96690705e-04]",20.0500001907
2007148,"[ 0.00012735  0.00012836  0.00013093 ..., -0.00072455 -0.00072514
 -0.00072573]",20.1500005722
2007149,"[ 0.00015231  0.00015303  0.0001549  ..., -0.00050236 -0.00050289
 -0.00050342]",20.25
2007150,"[  7.20464668e-05   7.30345855e-05   7.55285801e-05 ...,  -8.71079974e-04
  -8.71568045e-04  -8.72056116e-04]",20.3500003815
2007151,"[  4.81880707e-05   4.86020326e-05   4.96602734e-05 ...,  -3.85445426e-04
  -3.85705207e-04  -3.85964959e-04]",20.4499998093
2007152,"[  2.35682219e-05   2.37006388e-05   2.40398604e-05 ...,  -1.09654058e-04
  -1.09740082e-04  -1.09826105e-04]",20.5500001907
2007153,"[  3.13872588e-05   3.15216312e-05   3.18642269e-05 ...,  -9.90206972e-05
  -9.91013803e-05  -9.91820561e-05]",20.6500005722
2007154,"[  4.11581241e-05   4.13349044e-05   4.17824194e-05 ...,  -1.24469574e-04
  -1.24562386e-04  -1.24655213e-04]",20.75
2007155,"[  3.27825182e-05   3.29621034e-05   3.34193683e-05 ...,  -1.57813454e-04
  -1.57918752e-04  -1.58024064e-04]",20.8500003815
2007156,"[  5.27973134e-05   5.32122031e-05   5.42677371e-05 ...,  -3.20728810e-04
  -3.20966647e-04  -3.21204425e-04]",20.9499998093
2007157,"[  4.44343641e-05   4.48959327e-05   4.60672200e-05 ...,  -3.76382872e-04
  -3.76635056e-04  -3.76887212e-04]",21.0500001907
2007158,"[ 0.00011578  0.00011727  0.00012106 ..., -0.00132985 -0.00133068
 -0.00133151]",21.1500005722
2007159,"[  2.44300882e-05   2.45629799e-05   2.49041441e-05 ...,  -1.12515670e-04
  -1.12605179e-04  -1.12694681e-04]",21.25
2007160,"[  2.22603558e-05   2.24545893e-05   2.29466350e-05 ...,  -1.65586796e-04
  -1.65690290e-04  -1.65793783e-04]",21.3500003815
2007161,"[  3.07132177e-05   3.08807030e-05   3.13065757e-05 ...,  -1.31444045e-04
  -1.31539535e-04  -1.31635039e-04]",21.4499998093
2007162,"[  2.40963382e-05   2.42379774e-05   2.45972478e-05 ...,  -1.29436608e-04
  -1.29514272e-04  -1.29591936e-04]",21.5500001907
2007163,"[  4.11586916e-05   4.13880734e-05   4.19649805e-05 ...,  -1.85587342e-04
  -1.85693338e-04  -1.85799334e-04]",21.6500005722
2007164,"[  5.23760355e-05   5.26423573e-05   5.33123894e-05 ...,  -2.14143380e-04
  -2.14268133e-04  -2.14392887e-04]",21.75
2007165,"[  3.85119565e-05   3.89110828e-05   3.99173077e-05 ...,  -3.84275569e-04
  -3.84469400e-04  -3.84663232e-04]",21.8500003815
2007166,"[  5.40989095e-05   5.47270865e-05   5.63149624e-05 ...,  -5.90247917e-04
  -5.90569281e-04  -5.90890646e-04]",21.9499998093
2007167,"[  6.24859604e-05   6.29027927e-05   6.39661739e-05 ...,  -3.70895898e-04
  -3.71149945e-04  -3.71403963e-04]",22.0499992371
2007168,"[  4.66760721e-05   4.70587838e-05   4.80276758e-05 ...,  -3.43154476e-04
  -3.43356136e-04  -3.43557796e-04]",22.1499996185
2007169,"[  3.87929249e-05   3.90097703e-05   3.95612878e-05 ...,  -1.76221423e-04
  -1.76345784e-04  -1.76470130e-04]",22.25
2007170,"[  4.97813453e-05   5.00352435e-05   5.06781216e-05 ...,  -1.92426276e-04
  -1.92559804e-04  -1.92693347e-04]",22.3499984741
2007171,"[  8.35783867e-05   8.39708155e-05   8.49638745e-05 ...,  -2.99185689e-04
  -2.99390813e-04  -2.99595908e-04]",22.4499988556
2007172,"[  8.11297505e-05   8.14552259e-05   8.22767397e-05 ...,  -2.25554526e-04
  -2.25717245e-04  -2.25879950e-04]",22.5499992371
2007173,"[  9.29230446e-05   9.32657276e-05   9.41292892e-05 ...,  -2.22018716e-04
  -2.22183357e-04  -2.22347968e-04]",22.6499996185
2007174,"[  8.16719985e-05   8.21093345e-05   8.32126243e-05 ...,  -3.44555039e-04
  -3.44770233e-04  -3.44985398e-04]",22.75
2007175,"[  5.16748696e-05   5.19364912e-05   5.25969772e-05 ...,  -2.01200382e-04
  -2.01330156e-04  -2.01459930e-04]",22.8499984741
2007176,"[  3.26039699e-05   3.27357666e-05   3.30668336e-05 ...,  -9.58677265e-05
  -9.59265453e-05  -9.59853642e-05]",22.9499988556
2007177,"[  4.13221424e-05   4.14575588e-05   4.17971496e-05 ...,  -9.26942521e-05
  -9.27530928e-05  -9.28119262e-05]",23.0499992371
2007178,"[  2.95027057e-05   2.96247345e-05   2.99308995e-05 ...,  -9.34283453e-05
  -9.34813579e-05  -9.35343705e-05]",23.1499996185
2007179,"[  3.06992879e-05   3.08564922e-05   3.12529883e-05 ...,  -1.35925366e-04
  -1.36002549e-04  -1.36079732e-04]",23.25
2007180,"[  4.93378757e-05   4.96089597e-05   5.02906369e-05 ...,  -2.39369780e-04
  -2.39494868e-04  -2.39619956e-04]",23.3499984741
2007181,"[  6.03679473e-05   6.06493886e-05   6.13593002e-05 ...,  -2.32024293e-04
  -2.32163540e-04  -2.32302802e-04]",23.4499988556
2007182,"[  2.59430944e-05   2.60341585e-05   2.62656686e-05 ...,  -6.75949923e-05
  -6.76473574e-05  -6.76997151e-05]",23.5499992371
2007183,"[  2.87411713e-05   2.88454885e-05   2.91103788e-05 ...,  -7.88530306e-05
  -7.89114856e-05  -7.89699261e-05]",23.6499996185
2007184,"[  4.28150197e-05   4.29926367e-05   4.34388530e-05 ...,  -1.39016862e-04
  -1.39096344e-04  -1.39175812e-04]",23.75
2007185,"[  4.38449715e-05   4.40210060e-05   4.44654979e-05 ...,  -1.23560429e-04
  -1.23647871e-04  -1.23735314e-04]",23.8499984741
2007186,"[  2.62444428e-05   2.64592381e-05   2.70070032e-05 ...,  -2.02431009e-04
  -2.02560928e-04  -2.02690862e-04]",23.9499988556
